identifier	scientificName	nuc-lsu	nuc-its	mit-tub	nuc-rpb2	nuc-ef1
#gcon:defs	std	gene	gene	gene	gene	gene
MFLUCC 13-0609	Acericola italica	MF167429	MF167428
CBS 124454	Pyrenochaetopsis indica	GQ387626	LT623224	LT623241	LT623281
CBS 101635	Pyrenochaetopsis leptospora	GQ387627	JF740262	LT623242	LT623282
CBS 122787	Pyrenochaetopsis leptospora	EU754151	LT623225	LT623243	LT623283
UTHSC:DI16-198; FMR 13688	Pyrenochaetopsis microspora	LN907341	LT592899	LT592968	LT593037
CBS 102876	Pyrenochaetopsis microspora	GQ387631	LT623226	LT623244	LT623284
CBS 142460	Pyrenochaetopsis paucisetosa	LN907336	LT592897	LT592966	LT593035
CBS 136769	Pyrenochaetopsis poae	KJ869175	KJ869117	KJ869243	LT623286
CBS 119739	Pyrenochaetopsis setosissima	GQ387632	LT623227	LT623245	LT623285
CBS 139506	Pyrenochaetopsis tabarestanensis	KF803343	KF730241	KX789523
CBS 142461	Pyrenochaetopsis uberiformis	LN907420	LT592935	LT593004	LT593074
CBS 118224	Sclerostagonospora opuntiae	JX517293	JX517284
MFLUCC 15-0129	Sclerostagonospora rosicola	MG829068	MG828957
MFLUCC 12-0089	Scolicosporium minkeviciusii	KF366382
MFLUCC 15-0701	Septoriella allojunci	KU058728	KU058718
CPC 24118	Septoriella phragmitis	KR873279	KR873251
CBS 110217	Setomelanomma holmii	GU301871	KT389542
CBS 531.66	Didymella pinodella	GU238017	FJ427052	FJ427162		MK525067
LC6594	Setophoma antiqua	MK511947	MK511909	MK524999		MK525070
LC6595	Setophoma antiqua	MK511948	MK511910	MK525000		MK525071
CGMCC 3.19525 = LC6596	Setophoma antiqua		MK511911	MK525001		MK525072
CBS 145418	Setophoma brachypodii		MK539968			MK540161
LC12481	Setophoma caverna		MK511927	MK525016		MK525088
LC12842	Setophoma caverna		MK511928	MK525017		MK525089
CGMCC 3.19526 = LC7511	Setophoma caverna	MK511965	MK511944	MK525032		MK525105
CBS 135105	Setophoma chromolaenae	KF251747	KF251244	KF252728		KF253195
LC13538	Setophoma endophytica		MK511923	MK525012		MK525084
LF2067	Setophoma endophytica		MK511924	MK525013		MK525085
CGMCC 3.19528 = LC3163	Setophoma endophytica	MK511956	MK511931	MK525020		MK525092
LC3164	Setophoma endophytica	MK511957	MK511932	MK525021		MK525093
LC3165	Setophoma endophytica		MK511933	MK525022		MK525094
LC3216	Setophoma endophytica	MK511959	MK511938	MK525026		MK525099
LC3297	Setophoma endophytica	MK511962	MK511941	MK525029		MK525102
CGMCC 3.19524 = LC6593	Setophoma longinqua	MK511946	MK511908	MK524998		MK525069
LC13481	Setophoma longinqua		MK511925	MK525014		MK525086
LC13482	Setophoma longinqua		MK511926	MK525015		MK525087
CBS 145373	Setophoma pseudosacchari		MK539969	MK540176
CBS 333.39	Setophoma sacchari		KF251245
CBS 135470	Setophoma terrestris	KF251739	KF251236
CBS 335.29 = MUCL 9892 = LC6449	Setophoma terrestris	KF251749	KF251246	KF252729		KF253196
CBS 335.87	Setophoma terrestris	KF251750	KF251247	KF252730		KF253197
CBS 377.52	Setophoma terrestris	KF251751	KF251248	KF252731		KF253198
CBS 137988	Setophoma vervoniae		KJ869141	MK540177		MK540162
LC6739	Setophoma yingyisheniae		MK511912	MK525002		MK525073
LC12696	Setophoma yingyisheniae	MK511950	MK511914			MK525075
LC12699	Setophoma yingyisheniae	MK511951	MK511915	MK525004		MK525076
LC13477	Setophoma yingyisheniae	MK511952	MK511916	MK525005		MK525077
LC13478	Setophoma yingyisheniae		MK511917	MK525006		MK525078
CGMCC 3.19527 = LC13479	Setophoma yingyisheniae		MK511918	MK525007		MK525079
LC6532	Setophoma yunnanensis	MK511945	MK511907	MK524997		MK525068
CGMCC 3.19529 = LC6753	Setophoma yunnanensis	MK511949	MK511913	MK525003		MK525074
MFLUCC 14-0995	Sulcispora pleurospora	KP271444	KP271443
CBS 127737	Tintelnotia destructans	KY090664	KY090652
CBS 376.91	Tintelnotia opuntiae	GU238123	KY090651
MFLUCC 15-0177	Vagicola chlamydospora	KU163654	KU163658
CBS 604.86	Vagicola vagans	KF251696	KF251193
CBS 135107	Vrystaatia aloeicola	KF251781	KF251278
MFLUCC 13-0737	Wojnowicia lonicerae	KP684151	KP744471
MFLUCC 15-0128	Wojnowicia rosicola	MG829091	MG828979
MFLUCC 13-0402	Wojnowicia spartii	KU058729	KU058719
CPC 25024	Wojnowiciella eucalypti	KR476774	KR476741
MFLUCC 12-0733	Wojnowiciella viburni	KC594287	KC594286
CBS 120.43	Xenoseptoria neosaccardoi	KF251783	KF251280
CBS 128665	Xenoseptoria neosaccardoi	KF251784	KF251281
CBS 445.81	Xenopyrenochaetopsis pratorum	GU238136	JF740263	KT389846	KT389671
MFLUCC 17-1361	Yunnanensis phragmitis	MF684865	MF684869
